Satisfaction Score,Churn Score,Tenure in Months,Monthly Charge,Total Long Distance Charges,Number of Referrals,CLTV,Age,Dependents,Internet Service,Gender,Churn
2,79,33,83.85,1271.49,0,2583,78,0,1,Male,1
1,96,25,89.1,581.0,1,4793,36,0,1,Female,1
1,77,4,79.9,172.24,0,4669,27,0,1,Male,1
4,73,53,108.25,2299.67,1,5989,38,1,1,Female,0
3,59,69,84.9,1018.44,7,4503,77,0,1,Male,0
3,73,72,98.35,3211.92,0,6120,65,0,1,Male,0
3,69,13,35.4,0.0,0,3239,58,0,1,Female,0
1,80,2,76.5,34.44,0,5944,30,0,1,Male,1
3,67,52,48.8,0.0,0,4865,69,0,1,Male,0
3,63,71,90.3,1115.41,1,6291,48,1,1,Male,0
5,27,6,19.65,174.54,0,3945,43,0,0,Female,0
4,71,26,19.4,165.88,0,4602,29,0,0,Male,0
3,23,14,55.0,0.0,0,4900,47,0,1,Male,0
3,42,26,95.85,1043.64,0,3834,60,0,1,Female,0
1,89,49,103.7,2172.17,0,5340,38,1,1,Male,1
3,40,9,68.25,290.79,0,4366,45,0,1,Male,0
1,84,4,49.4,39.08,0,4455,44,1,1,Male,1
4,30,22,65.05,963.16,0,4709,20,0,1,Male,0
3,72,3,98.7,98.28,0,3916,28,0,1,Male,1
5,76,20,19.7,317.4,0,4404,49,0,0,Female,0
3,44,71,85.45,1620.93,9,5394,35,1,1,Male,0
4,31,13,19.85,522.6,1,2928,35,1,0,Male,0
1,89,1,44.4,32.44,0,3522,45,0,1,Male,1
3,25,72,95.1,1349.28,8,5584,39,1,1,Female,0
2,91,1,20.2,11.25,0,5418,45,0,0,Male,1
4,41,9,20.45,413.91,0,2392,32,0,0,Female,0
3,63,63,58.55,1724.94,0,6312,35,0,1,Female,0
4,24,5,70.05,27.1,1,2064,79,0,1,Female,0
3,52,51,76.4,1614.66,1,6385,59,0,1,Male,0
4,39,72,85.1,1478.88,7,4147,24,0,1,Female,0
3,55,72,20.7,1563.84,1,6317,19,0,0,Male,0
3,35,71,113.15,2016.4,0,4955,25,0,1,Female,0
3,64,72,116.05,1538.64,5,4404,75,0,1,Male,0
3,92,20,98.55,888.8,0,5444,73,0,1,Male,1
3,71,48,70.65,604.8,10,5523,72,0,1,Female,0
3,22,6,26.35,229.68,0,2189,21,1,0,Male,0
3,26,4,57.2,0.0,0,2421,31,1,1,Female,0
1,87,4,85.65,27.64,0,2330,19,0,1,Male,1
4,48,71,85.45,2264.19,0,4777,19,1,1,Male,0
4,27,72,110.9,3263.04,5,6444,31,1,1,Male,0
4,27,10,20.0,200.5,4,3763,23,1,0,Female,0
5,59,67,24.9,1167.81,4,5847,54,1,0,Female,0
3,72,24,104.65,72.0,2,4734,51,0,1,Male,1
3,52,41,101.6,603.93,7,3275,21,1,1,Female,0
3,39,71,91.05,674.5,3,4644,26,0,1,Female,0
3,94,50,71.05,230.0,1,5746,69,0,1,Female,1
4,24,66,84.0,410.52,0,5825,57,0,1,Male,0
4,38,12,73.3,520.8,0,5159,78,0,1,Male,0
1,76,12,81.7,220.56,0,2850,44,0,1,Male,1
4,68,50,24.9,2358.0,0,4297,64,0,0,Male,0
4,71,52,20.1,126.88,10,4529,22,1,0,Female,0
1,73,58,93.4,211.7,1,5989,37,0,1,Female,1
3,40,50,100.65,1829.0,1,5791,79,0,1,Female,0
3,80,20,64.4,252.0,0,2120,64,0,1,Male,0
4,31,12,84.6,468.0,9,2499,62,0,1,Male,0
3,62,58,68.4,1565.42,8,5269,24,0,1,Female,0
3,36,38,91.7,482.98,3,3676,36,0,1,Male,0
3,31,66,116.25,215.82,0,4578,77,1,1,Male,0
2,83,8,19.65,223.6,0,5432,74,0,0,Female,1
4,40,2,80.55,10.6,0,5346,56,1,1,Female,0
4,36,64,53.85,1092.48,10,4954,53,1,1,Female,0
5,55,29,74.2,475.02,0,3982,25,0,1,Female,0
3,96,18,88.35,228.06,0,5727,47,0,1,Female,1
3,49,48,58.95,1652.64,10,4815,65,0,1,Female,0
4,69,42,56.1,867.3,1,5904,56,0,1,Male,0
1,80,5,40.0,0.0,0,3125,25,0,1,Male,1
2,67,49,51.8,0.0,2,5375,57,0,1,Male,1
3,66,65,100.75,2085.2,6,4368,66,0,1,Male,0
3,24,12,60.65,0.0,0,3740,62,0,1,Female,0
4,27,68,72.95,2320.84,4,4499,45,1,1,Male,0
1,74,5,53.85,121.6,0,5435,34,0,1,Female,1
3,91,7,20.0,112.28,0,4479,27,0,0,Female,1
4,53,72,85.45,2242.8,10,5641,39,0,1,Male,0
1,79,13,81.15,49.92,0,4806,37,0,1,Female,1
3,89,21,97.35,190.26,0,4321,63,0,1,Female,1
3,26,40,80.8,518.8,5,3387,46,0,1,Male,0
1,91,55,85.45,2355.1,2,5502,66,0,1,Female,1
3,67,1,20.3,26.37,0,3830,44,0,0,Female,1
2,91,31,98.9,1486.45,1,4050,70,0,1,Female,1
3,96,63,107.5,121.59,1,6144,50,0,1,Female,1
3,28,64,73.05,1704.96,5,4515,20,0,1,Male,0
4,66,63,105.4,1431.99,0,4551,25,0,1,Male,0
3,28,23,83.2,459.08,0,2061,23,0,1,Female,0
4,62,64,24.9,1230.72,6,5038,50,1,0,Female,0
3,53,68,107.7,1632.68,2,5015,25,0,1,Male,0
5,49,1,19.9,11.83,0,2010,22,0,0,Female,0
1,65,1,48.95,34.4,0,3913,22,1,1,Male,1
3,22,53,69.7,1480.29,9,4975,54,1,1,Male,0
3,67,27,24.5,959.04,1,2645,51,1,0,Female,0
5,73,28,54.65,716.52,0,3185,55,0,1,Female,0
5,29,40,20.15,120.4,1,3556,42,1,0,Female,0
4,37,53,74.1,1968.42,3,5136,41,0,1,Female,0
5,34,1,75.55,7.11,0,3503,32,0,1,Female,0
1,91,17,90.2,205.02,1,2026,62,0,1,Male,1
5,33,1,19.5,20.11,0,3107,42,0,0,Female,0
1,95,40,94.55,1980.0,1,5676,65,0,1,Female,1
3,49,69,84.45,2685.48,7,5629,47,1,1,Female,0
1,87,43,101.0,1343.75,8,3123,68,0,1,Male,1
3,41,72,117.15,1792.08,1,4743,43,0,1,Female,0
4,75,50,99.4,1303.0,7,6479,44,0,1,Male,0
4,47,47,26.9,548.96,7,2382,20,0,0,Female,0
5,64,65,108.8,3154.45,4,5225,69,0,1,Female,0
3,74,35,50.15,1358.7,0,5879,52,1,1,Female,0
3,77,68,55.9,3045.72,9,5160,49,0,1,Female,0
5,65,2,20.1,71.0,0,2051,60,0,0,Female,0
5,76,34,100.85,1140.7,8,5891,21,0,1,Male,0
5,51,1,20.45,39.61,0,2664,32,0,0,Male,0
4,76,43,106.0,438.17,0,3528,47,1,1,Female,0
4,78,54,30.4,0.0,9,4778,45,0,1,Male,0
3,65,9,19.6,24.12,9,4406,53,1,0,Male,0
4,66,14,75.1,636.44,8,3771,73,0,1,Male,0
4,58,53,96.75,1832.74,0,4766,72,0,1,Female,0
5,57,72,20.8,1686.96,0,4626,31,0,0,Male,0
4,77,67,20.8,590.94,6,5626,48,1,0,Male,0
3,53,51,83.85,351.39,5,5703,20,0,1,Male,0
3,36,72,64.7,0.0,8,6075,33,0,1,Male,0
5,58,2,20.05,80.56,0,4394,19,0,0,Male,0
4,30,42,78.45,851.34,0,3192,56,0,1,Female,0
4,45,35,72.1,353.85,0,5510,23,1,1,Male,0
4,67,3,34.8,0.0,0,2496,25,0,1,Female,0
1,80,18,90.1,615.78,0,4260,33,0,1,Female,1
5,49,18,74.15,78.84,0,2643,63,0,1,Male,0
4,36,1,55.7,17.68,10,5664,61,0,1,Male,0
3,38,14,92.9,389.2,0,4296,47,0,1,Male,0
4,47,71,80.6,871.17,0,5447,51,0,1,Male,0
2,85,59,93.85,636.02,0,5390,70,0,1,Male,1
5,72,49,20.05,1082.9,3,5579,56,0,0,Female,0
3,75,51,60.5,486.03,5,4994,40,0,1,Male,0
1,68,53,93.9,1655.72,1,5543,27,0,1,Male,1
4,31,1,45.55,16.34,0,3173,50,0,1,Male,0
3,56,36,54.45,934.2,0,4462,40,0,1,Female,0
4,74,2,20.35,10.84,3,5761,35,0,0,Female,0
3,63,45,78.75,1791.9,3,2595,33,0,1,Male,0
3,59,68,62.65,2482.68,4,5215,38,1,1,Male,0
3,20,53,90.8,133.03,0,5249,50,0,1,Female,0
3,44,6,19.7,166.68,0,2276,46,1,0,Male,0
4,78,23,19.65,43.24,9,4896,24,1,0,Female,0
3,92,50,95.05,1578.0,1,5863,67,0,1,Female,1
3,91,8,84.0,368.4,1,4819,75,0,1,Female,1
4,7,13,54.8,136.63,0,5557,68,0,1,Female,0
3,80,1,85.0,30.52,0,5679,51,0,1,Female,1
5,72,11,20.0,541.09,8,5837,37,1,0,Female,0
1,70,1,95.1,4.89,1,5795,71,0,1,Male,1
4,40,61,81.0,2010.56,1,4151,27,1,1,Male,0
3,33,67,49.35,0.0,0,5905,30,0,1,Male,0
5,67,35,19.25,1323.35,0,4988,31,0,0,Female,0
1,91,8,80.45,215.92,2,3443,67,0,1,Male,1
3,39,67,36.15,0.0,5,6314,58,1,1,Female,0
5,69,5,50.95,0.0,0,3573,46,0,1,Female,0
4,45,69,105.4,1337.91,2,5467,73,0,1,Female,0
3,41,67,60.95,2818.69,7,5792,79,0,1,Male,0
3,25,72,89.55,415.44,4,4993,74,0,1,Female,0
5,27,19,19.8,249.47,1,4464,33,1,0,Male,0
4,71,71,23.9,1348.29,9,5574,39,1,0,Male,0
4,70,24,57.6,0.0,6,5623,42,0,1,Female,0
1,93,25,34.0,0.0,1,5024,19,0,1,Female,1
5,72,1,20.9,10.21,0,3901,28,0,0,Female,0
3,61,54,65.3,1011.96,0,4556,47,0,1,Male,0
1,91,1,45.05,48.03,0,4094,23,0,1,Male,1
5,80,9,55.3,210.24,1,4291,51,1,1,Female,0
5,68,15,46.3,364.05,7,3103,24,1,1,Female,0
2,73,1,84.5,6.89,0,4340,31,0,1,Male,1
3,79,1,77.15,27.7,0,2756,32,0,1,Female,1
3,27,70,79.25,1957.9,8,5085,56,0,1,Male,0
2,74,5,96.25,160.6,0,5056,62,0,1,Female,1
1,95,24,54.15,0.0,0,5153,25,0,1,Female,1
1,90,24,55.65,215.76,0,4126,43,0,1,Male,1
3,67,19,103.3,532.76,1,2349,34,0,1,Male,1
3,78,31,55.25,47.43,0,2933,60,0,1,Male,1
2,91,7,48.7,35.91,1,2984,61,0,1,Male,1
4,68,42,40.15,0.0,1,4348,37,0,1,Male,0
4,56,62,105.5,914.5,8,4271,22,1,1,Male,0
5,46,30,80.8,478.2,4,4274,24,0,1,Female,0
4,23,52,66.25,0.0,3,4275,22,0,1,Female,0
5,43,3,84.3,41.16,0,5828,46,0,1,Male,0
1,70,67,102.95,2512.5,0,5620,28,0,1,Female,1
5,80,12,20.45,493.32,0,4883,26,0,0,Male,0
5,62,11,40.4,0.0,0,2133,23,0,1,Female,0
5,24,68,60.65,2757.4,2,6418,78,0,1,Female,0
2,66,1,19.4,3.14,0,4152,52,0,0,Male,1
1,95,14,71.0,507.5,0,3228,27,0,1,Female,1
1,83,1,48.6,6.54,0,4207,22,0,1,Female,1
5,58,2,51.4,0.0,0,2580,53,0,1,Female,0
4,35,1,47.95,46.23,0,5092,33,0,1,Male,0
4,30,70,19.8,819.7,7,4500,41,0,0,Female,0
4,62,51,56.4,0.0,0,4380,52,0,1,Female,0
5,71,49,84.5,1332.8,0,6434,49,0,1,Female,0
3,23,2,100.2,45.12,0,4855,49,0,1,Male,0
4,30,40,40.25,0.0,0,4288,62,1,1,Male,0
4,25,3,76.1,43.05,0,2650,50,0,1,Female,0
3,73,5,45.7,0.0,0,3561,79,0,1,Female,1
3,21,58,98.9,1804.38,8,4993,80,0,1,Male,0
5,25,1,20.75,7.57,0,3358,29,1,0,Male,0
4,40,6,45.65,34.14,9,4227,27,0,1,Female,0
3,75,8,49.85,302.32,0,2269,48,0,1,Female,1
4,33,1,20.0,6.86,4,2358,21,1,0,Female,0
1,71,28,92.35,1054.48,1,2990,47,0,1,Female,1
4,71,62,54.75,2041.04,5,5010,22,1,1,Female,0
5,21,27,25.85,71.55,0,2682,54,1,0,Male,0
3,24,71,115.15,670.24,7,4144,57,0,1,Female,0
4,79,1,49.75,41.79,0,2908,47,0,1,Male,0
3,31,69,23.95,1534.56,0,6059,57,0,0,Male,0
3,27,2,45.25,79.0,0,5441,34,0,1,Female,0
4,39,48,70.55,1863.36,7,3997,41,0,1,Male,0
4,62,72,80.45,448.56,4,4202,59,0,1,Female,0
1,70,45,100.85,635.4,0,4898,34,0,1,Male,1
3,96,5,83.15,209.15,0,2516,68,0,1,Female,1
2,91,5,81.3,125.55,0,3819,33,0,1,Male,1
3,71,62,113.95,2646.16,3,6193,21,0,1,Female,0
3,49,54,65.65,1327.86,1,5725,25,1,1,Male,0
4,76,70,26.0,990.5,1,6170,44,0,0,Female,0
4,36,1,49.55,10.83,0,5277,45,0,1,Female,0
5,71,57,86.9,2056.56,0,6109,45,0,1,Male,0
1,83,35,72.25,884.45,1,5898,28,1,1,Female,1
1,71,1,95.45,5.59,0,5962,56,0,1,Male,1
3,63,51,60.5,2406.18,4,4207,56,0,1,Female,0
1,67,31,79.45,208.01,0,2872,37,0,1,Male,1
3,46,53,25.55,1765.43,3,5794,37,1,0,Male,0
3,61,1,70.6,36.12,0,3530,31,0,1,Male,0
5,47,38,103.65,910.1,0,2511,22,0,1,Female,0
5,80,29,74.95,156.31,3,3483,62,0,1,Female,0
4,42,49,30.2,0.0,0,5214,22,0,1,Male,0
1,66,5,96.1,155.45,0,4192,61,0,1,Male,1
5,35,3,20.5,111.03,0,5296,28,0,0,Male,0
5,45,46,108.9,92.0,6,5119,29,0,1,Female,0
3,62,22,55.1,816.42,0,2729,62,0,1,Male,0
3,21,59,86.75,2499.83,4,5020,21,1,1,Male,0
3,35,35,110.8,1152.2,0,2125,74,0,1,Female,0
1,66,11,90.15,245.96,0,5250,46,0,1,Female,1
4,52,24,74.8,208.08,9,5535,57,1,1,Male,0
4,57,51,87.55,732.87,0,6021,36,0,1,Female,0
3,48,72,70.45,493.2,8,4463,52,1,1,Female,0
3,85,49,84.5,1940.4,1,4639,55,0,1,Male,1
3,72,46,53.1,2058.04,1,3358,25,0,1,Female,0
1,65,3,74.75,105.54,1,3972,39,0,1,Female,1
3,63,68,44.95,0.0,0,5750,53,0,1,Female,0
3,49,72,90.35,691.2,9,5794,41,0,1,Female,0
4,56,64,85.0,758.4,5,5472,41,0,1,Female,0
3,81,1,90.85,8.56,0,3424,64,0,1,Male,1
3,66,29,48.95,291.74,0,4825,34,0,1,Male,0
4,22,68,103.25,1486.48,2,4751,51,1,1,Male,0
4,37,71,61.4,0.0,2,5119,46,0,1,Female,0
3,70,53,25.1,1008.59,1,5295,79,0,0,Female,0
3,51,1,18.8,43.57,9,5160,29,0,0,Male,0
4,34,50,20.55,506.5,10,4878,37,1,0,Female,0
5,38,19,56.2,764.18,0,3384,57,0,1,Female,0
3,73,13,64.75,173.16,1,4741,59,1,1,Male,0
4,65,59,20.2,2783.03,0,5216,47,0,0,Male,0
4,34,22,81.7,515.46,0,5602,77,0,1,Female,0
3,70,30,55.65,1411.8,0,5445,35,0,1,Male,0
3,58,59,81.25,1746.4,1,4709,43,0,1,Female,0
3,67,64,81.25,351.36,0,4761,25,0,1,Male,0
2,69,4,74.4,115.56,0,3633,39,0,1,Male,1
2,91,6,94.5,99.48,0,3469,53,0,1,Male,1
4,72,34,24.7,391.68,5,3421,49,0,0,Female,0
3,77,1,45.1,11.06,0,4884,27,0,1,Male,1
3,50,7,69.7,36.19,6,4326,63,1,1,Male,0
3,64,45,100.3,46.35,0,4868,27,0,1,Female,0
3,35,29,19.4,436.74,0,2265,30,0,0,Female,0
3,86,1,90.75,23.06,0,5460,26,0,1,Male,1
4,51,43,26.45,1242.7,0,3881,39,0,0,Male,0
1,65,8,83.55,258.56,1,2879,32,0,1,Female,1
5,75,57,104.9,1830.84,0,5838,68,0,1,Male,0
4,67,62,23.4,3033.66,0,5822,43,0,0,Male,0
1,82,42,77.95,1428.84,1,5396,53,0,1,Female,1
4,48,66,104.9,2599.08,6,4892,67,1,1,Female,0
1,80,57,104.5,2287.41,1,4471,47,0,1,Female,1
4,42,23,19.5,321.54,0,5652,33,0,0,Female,0
1,80,2,91.4,79.24,0,5100,50,0,1,Female,1
3,80,66,63.85,2407.68,0,4657,72,0,1,Female,0
3,31,71,99.0,3128.26,5,5295,50,0,1,Male,0
5,56,17,70.8,609.96,0,5420,26,0,1,Male,0
3,27,64,19.55,2493.44,0,6036,42,0,0,Male,0
3,77,18,85.2,439.2,0,3326,27,0,1,Female,1
3,28,69,56.55,0.0,10,4162,79,0,1,Male,0
5,58,26,19.15,1139.84,9,4347,45,1,0,Male,0
4,55,6,69.1,111.9,0,5741,59,0,1,Male,0
1,73,70,114.2,1174.6,1,5947,21,0,1,Female,1
3,27,40,20.6,915.6,0,3091,42,0,0,Female,0
4,51,1,25.35,0.0,0,4193,31,0,1,Male,0
1,88,3,34.25,0.0,0,2802,26,0,1,Female,1
3,69,9,70.05,134.19,2,4900,24,0,1,Male,0
3,78,52,104.45,2028.0,5,5490,79,0,1,Male,0
4,35,44,19.5,798.16,0,4220,60,0,0,Male,0
5,78,1,54.3,34.02,0,3259,62,0,1,Male,0
4,23,1,95.85,2.7,0,3270,50,0,1,Female,0
2,83,2,20.65,49.42,0,3845,60,0,0,Female,1
2,93,43,107.55,595.12,1,4423,80,0,1,Female,1
1,81,8,92.1,343.44,0,5662,71,0,1,Female,1
1,75,13,94.1,566.28,1,2973,26,0,1,Female,1
5,40,13,74.65,554.06,0,4172,39,0,1,Female,0
2,90,1,21.0,16.66,1,3753,30,0,0,Female,1
3,96,1,70.15,2.24,0,3208,34,0,1,Female,1
4,36,53,108.95,954.0,1,4163,36,0,1,Female,0
1,65,39,95.65,1635.27,0,4892,79,0,1,Male,1
1,76,1,49.55,24.24,1,4989,73,0,1,Female,1
3,79,49,59.6,259.21,3,4986,42,1,1,Male,0
5,65,19,39.7,0.0,0,4034,19,0,1,Female,0
1,69,9,74.55,158.04,0,3145,70,0,1,Female,1
1,92,43,49.05,0.0,0,4044,64,0,1,Female,1
5,55,55,94.45,1903.55,1,5577,64,0,1,Female,0
3,50,72,115.75,3232.08,2,6205,75,0,1,Female,0
3,25,65,90.45,1849.9,3,5509,43,1,1,Female,0
1,95,1,25.05,0.0,1,2119,74,0,1,Male,1
3,31,27,100.75,379.89,0,3160,39,1,1,Male,0
1,74,58,103.25,2581.0,0,6105,20,0,1,Male,1
4,66,4,19.6,116.56,1,4580,34,0,0,Female,0
1,75,36,99.15,480.6,0,4188,54,0,1,Female,1
3,55,69,90.65,3272.67,0,6487,42,0,1,Male,0
5,32,14,20.05,128.66,0,5728,27,0,0,Male,0
2,84,2,44.95,53.24,0,5900,80,0,1,Male,1
2,87,34,97.65,1473.22,1,3979,35,0,1,Female,1
3,70,23,49.45,594.55,0,5237,61,1,1,Female,0
3,25,36,106.05,692.64,4,4505,54,0,1,Female,0
4,78,5,53.8,247.0,0,2182,56,0,1,Female,0
4,24,43,78.8,1656.79,1,3972,42,0,1,Female,0
1,88,5,89.8,181.8,0,2960,75,0,1,Male,1
3,62,42,54.75,0.0,0,3179,51,0,1,Female,0
4,76,42,99.0,55.02,9,4545,54,0,1,Female,0
5,44,63,19.5,1532.16,0,4370,48,1,0,Female,0
3,24,17,25.65,0.0,0,3090,63,0,1,Male,0
2,91,35,95.45,1228.5,0,2080,70,0,1,Male,1
3,79,36,19.25,1794.6,0,4904,44,0,0,Female,0
2,70,14,90.9,190.96,1,5148,64,0,1,Female,1
5,54,60,102.5,1153.2,8,4968,48,0,1,Male,0
4,64,22,100.05,199.1,10,3274,36,1,1,Male,0
5,54,21,44.95,817.95,6,3752,33,1,1,Female,0
5,38,47,20.25,1755.45,8,2070,64,1,0,Female,0
3,52,72,65.7,0.0,5,6187,44,1,1,Female,0
4,36,10,70.3,263.7,5,5496,42,1,1,Female,0
1,65,13,100.8,93.86,0,3269,69,0,1,Female,1
1,85,24,40.65,0.0,1,3843,74,0,1,Female,1
3,32,72,114.45,1796.4,0,4700,51,1,1,Male,0
3,77,61,20.4,1920.89,7,5897,42,1,0,Male,0
4,59,44,88.15,1444.52,0,4112,35,0,1,Female,0
5,31,64,68.3,1490.56,9,5425,57,0,1,Female,0
4,35,72,25.0,2878.56,7,6126,56,0,0,Female,0
3,45,41,94.55,1904.86,8,4914,65,0,1,Male,0
3,78,13,49.15,0.0,0,3000,47,0,1,Female,0
5,30,54,74.0,1898.64,10,4991,73,0,1,Male,0
3,59,66,49.4,3175.26,1,5232,34,1,1,Female,0
2,78,2,35.1,0.0,1,2643,36,0,1,Female,1
3,43,24,20.75,1140.24,0,4117,40,0,0,Male,0
3,91,71,93.7,2876.92,2,4296,55,0,1,Female,1
2,67,23,90.05,81.65,0,4650,64,0,1,Female,1
3,78,30,79.3,202.2,0,2655,59,0,1,Female,0
3,44,72,92.0,383.04,8,5883,55,0,1,Male,0
4,65,1,46.3,11.51,0,2546,71,0,1,Male,0
5,33,62,24.25,3021.26,4,4444,40,0,0,Male,0
3,53,70,19.2,2704.1,1,5261,38,1,0,Female,0
5,75,17,102.55,171.87,2,3803,58,0,1,Male,0
4,54,60,37.7,0.0,1,5148,61,0,1,Female,0
5,40,21,20.35,473.13,0,3721,31,0,0,Male,0
3,33,14,86.0,668.08,0,5494,53,1,1,Female,0
4,22,45,51.0,0.0,10,4534,52,1,1,Female,0
4,55,18,25.1,712.08,2,3675,33,1,0,Female,0
2,78,1,70.3,5.67,0,4512,32,0,1,Male,1
4,78,58,79.8,1317.18,0,5709,47,0,1,Female,0
4,40,1,20.35,29.86,0,2183,30,0,0,Female,0
1,75,38,57.15,991.8,0,3110,67,0,1,Female,1
4,43,7,66.85,337.12,0,4858,30,0,1,Female,0
3,68,24,74.4,788.64,10,4310,61,0,1,Male,0
3,24,66,85.9,502.26,2,5137,42,0,1,Male,0
3,62,60,70.15,2332.8,0,4260,49,0,1,Female,0
4,60,50,70.5,2224.5,10,4022,53,1,1,Male,0
5,52,26,85.2,772.72,0,5156,51,0,1,Male,0
3,79,65,110.35,2874.95,0,4295,80,0,1,Male,0
4,24,31,80.55,884.12,9,3491,58,0,1,Female,0
3,81,1,34.7,0.0,0,4476,31,0,1,Female,1
5,23,63,20.6,1043.91,0,6469,25,0,0,Female,0
2,88,1,69.35,22.03,0,2843,57,0,1,Male,1
5,33,1,19.75,10.22,0,4441,31,0,0,Male,0
3,60,70,68.95,1586.9,9,4858,49,1,1,Male,0
3,76,65,104.3,856.05,5,4997,23,1,1,Female,0
4,44,7,74.85,47.67,2,2259,68,0,1,Male,0
3,68,47,85.5,1719.26,0,3645,65,0,1,Male,1
5,66,14,19.65,640.64,8,2962,73,0,0,Male,0
3,29,59,69.1,1209.5,1,4765,30,0,1,Male,0
4,38,17,55.5,572.56,0,3190,64,0,1,Male,0
3,27,2,70.3,47.04,0,4799,21,0,1,Male,0
3,32,45,89.3,621.9,0,5470,42,0,1,Female,0
4,31,12,54.2,287.88,4,4474,24,0,1,Female,0
3,91,1,43.3,0.0,0,4972,75,0,1,Male,1
3,23,53,99.5,2309.21,0,4754,46,0,1,Female,0
3,30,46,69.1,737.84,0,3856,65,0,1,Female,0
5,37,60,59.85,0.0,1,5790,46,0,1,Female,0
4,46,3,70.25,76.2,0,2156,33,0,1,Female,0
1,89,18,90.7,514.62,0,2931,26,0,1,Male,1
4,68,6,18.95,165.24,0,5920,24,0,0,Male,0
3,46,72,115.05,1411.2,0,5905,41,0,1,Female,0
5,46,6,19.0,180.06,0,5518,38,1,0,Female,0
1,78,2,49.6,42.56,0,3599,26,0,1,Female,1
3,77,29,19.55,1448.84,6,5758,44,0,0,Female,0
4,26,41,55.7,270.6,0,5590,40,0,1,Male,0
5,36,57,89.85,2089.62,1,4429,79,0,1,Male,0
1,91,56,104.55,2732.8,0,6268,80,0,1,Male,1
5,33,42,92.15,745.5,10,5697,33,1,1,Female,0
4,60,11,51.1,32.45,0,4467,64,0,1,Female,0
3,24,30,86.45,1452.9,0,2923,53,1,1,Female,0
3,73,1,45.05,13.84,0,2644,31,0,1,Male,1
1,89,1,54.9,44.36,0,2833,19,0,1,Female,1
1,86,15,25.4,687.6,0,2853,22,0,0,Female,1
5,70,72,82.15,1584.72,5,4552,62,0,1,Male,0
3,39,16,38.9,0.0,0,3300,34,0,1,Female,0
1,91,25,58.6,0.0,6,4190,27,0,1,Female,1
4,59,54,74.55,765.72,8,4544,48,0,1,Male,0
3,66,1,19.25,9.44,0,4745,34,0,0,Female,0
3,80,35,106.9,913.15,1,5447,33,1,1,Female,0
